城市,价格,出游人数,评论数,详细出游人数,满意度,来回交通工具,行程天数,住宿类型,好评数,目的地,编号
 ,4580,0,30,0,9.5, ,5天4晚 ,高档型酒店,30, ,4270158370
 ,4580,0,0,0,9.5, ,5天4晚 ,高档型酒店,0, ,4270158370
 ,1547,0,0,0,10, ,3天2晚 ,二星及其他酒店,0, ,4197327911
 ,1547,0,13,0,10, ,3天2晚 ,二星及其他酒店,12, ,4197327911
 ,1547,0,181,0,10, ,3天2晚 ,二星及其他酒店,181, ,4197327911
 ,4580,0,0,0,10, ,2天1晚 ,舒适型酒店,0, ,4057153382
 ,1547,0, ,0, , , , , , , 
 ,1547,0, ,0, , , , , , , 
 ,1547,0,37,0,9.9, ,4天3晚 ,高档型酒店,37,上饶、黄山,1318459337
 ,1547,0,44,0,10, ,6天5晚 ,德令哈海子花园酒...等,44,西宁、海南藏族自治州、海西蒙古族藏族自治州、张掖、海北藏族自治州、酒泉、嘉峪关,1907860903
 ,1547,0, ,0, , , , , , , 
 ,1547,0,1,0, , , , ,1, , 
 ,1547,0,62,0,10, ,5天4晚 ,西宁灏岚酒店等,62,西宁、海南藏族自治州、海西蒙古族藏族自治州、张掖、海北藏族自治州、酒泉、嘉峪关、青海,1811206215
 ,1547,0,37,0,7.5,自理去自理回,4天3晚 ,豪华型酒店,37, ,3272418612
 ,1547,0,35,0,10, ,5天4晚 ,豪华型酒店,35,西双版纳、云南,2332344391
 ,1547,0,4,0,10, ,5天4晚 ,豪华型酒店,4,西双版纳、云南,2332344391
 ,1547,0,0,0,10, ,5天4晚 ,高档型酒店,0,西双版纳、云南,3766621927
 ,1547,0,1,0,10, ,5天4晚 ,高档型酒店,1,西双版纳、云南,3766621927
 ,1547,0,2,0,10, ,5天4晚 ,高档型酒店,2, ,1212479927
 ,1547,0,6,0,10, ,5天4晚 ,高档型酒店,6, ,1212479927
 ,1547,0,0,0,9.4, ,5天4晚 ,高档型酒店,0,张家界、湘西、长沙,1265402960
 ,1547,0,0,0,9.4, ,3天2晚 ,豪华型酒店,0, ,1642626505
 ,1547,0,0,0,9.4, ,3天2晚 ,豪华型酒店,0, ,1642626505
 ,1547,0,0,0,10,自理去自理回,5天4晚 ,豪华型酒店,0,云南、西双版纳,3451727048
 ,1547,0,24,0,10,自理去自理回,5天4晚 ,豪华型酒店,24,云南、西双版纳,3451727048
 ,1547,0,0,0,7.5,自理去自理回,5天4晚 ,舒适型酒店,0,大理、昆明,4182307464
 ,1547,0,0,0,10, ,5天4晚 ,德令哈华誉酒店,0,西宁、海南藏族自治州、海西蒙古族藏族自治州、张掖、海北藏族自治州、酒泉、嘉峪关,1209941642
沈阳出发,2407,0,0,0,10,飞机往返,5天4晚 ,豪华型酒店,0,阿坝州、成都,1857280301
 ,1547,0,22,0,10, ,5天4晚 ,德令哈华誉酒店,22,西宁、海南藏族自治州、海西蒙古族藏族自治州、张掖、海北藏族自治州、酒泉、嘉峪关,1209941642
沈阳出发,2407,0,0,0,9.7,飞机去自理回,3天2晚 ,高档型酒店,0,成都、阿坝州,2485880727
沈阳出发,2407,0,57,0,9.7,飞机往返,7天6晚 ,舒适型酒店,57,成都、四川、阿坝州、乐山,3183665030
 ,1547,0,2,0,9.9,自理去自理回,3天2晚 ,舒适型酒店,2,长沙、张家界、湘潭、衡阳、岳阳,931374850
 ,2407,0,1,0,9.7,全程汽车,5天4晚 ,舒适型酒店,1,阿坝州、成都、四川,3559934584
沈阳出发,2407,0,0,0,9.7,飞机往返,5天4晚 ,高档型酒店,0,成都、乐山、四川,2499497772
沈阳出发,2407,0,0,0,10,飞机往返,6天5晚 ,豪华型酒店,0,阿坝州、成都,3427968983
沈阳出发,2407,0,0,0,10,飞机往返,7天6晚 ,豪华型酒店,0,成都、阿坝州,1634520417
沈阳出发,2407,0,0,0,10,飞机往返,7天6晚 ,豪华型酒店,0,成都、阿坝州,1634520417
 ,2407,0,43,0,9.9,自理去自理回,5天4晚 ,高档型酒店,43, ,2876117052
 ,2407,0,18,0,9.9,自理去自理回,5天4晚 ,高档型酒店,18, ,2876117052
 ,2407,0,3,0,9.9,自理去自理回,5天4晚 ,高档型酒店,3, ,2876117052
 ,2407,0,1,0,9.9,自理去自理回,5天4晚 ,高档型酒店,0, ,2876117052
沈阳出发,2407,0,0,0,10,飞机往返,6天5晚 ,高档型酒店,0,成都、阿坝州,4101863651
 ,2407,0,151,0,9.8, ,5天4晚 ,二星及其他酒店,148,成都、阿坝州,431912667
 ,2407,0,58,0,9.8, ,5天4晚 ,二星及其他酒店,58,成都、阿坝州,431912667
 ,2407,0,0,0,9.8, ,5天4晚 ,二星及其他酒店,0,成都、阿坝州,431912667
 ,2407,0,0,0,9.8, ,6天5晚 ,高档型酒店,0, ,3937305621
 ,2407,0,1,0,9.8, ,6天5晚 ,高档型酒店,1, ,3937305621
沈阳出发,2407,0,0,0,10,飞机往返,5天4晚 ,高档型酒店,0,阿坝州、成都,3925657818
沈阳出发,2407,0,0,0,10,飞机往返,5天4晚 ,高档型酒店,0,阿坝州、成都,3925657818
沈阳出发,2407,0,28,0,10,飞机往返,5天4晚 ,高档型酒店,27,阿坝州、成都,3925657818
 ,1880,0,0,0,9.3, ,6天5晚 ,豪华型酒店,0,三亚、陵水、保亭,3182092217
 ,1547,0,1,0,10, ,5天4晚 ,豪华型酒店,1,昆明、西双版纳,2355984957
 ,2407,0,2,0,9.7,飞机往返,4天3晚 ,舒适型酒店,2, ,1960782785
 ,1599,0,23,0,9.7, ,2天1晚 ,豪华型酒店,23, ,1782306343
 ,2407,0,24,0,10, ,4天3晚 ,豪华型酒店,24, ,529773542
 ,2407,0,67,0,10, ,4天3晚 ,豪华型酒店,67, ,529773542
 ,2428,45,0,45,9.9, ,3天2晚 ,三星酒店,0,广州、珠海,2167453526
 ,2428,45,0,45,10, ,8天7晚 ,豪华型酒店,0,丽江、大理、迪庆、昆明,1338912933
沈阳出发,2407,0,0,0,10,飞机往返,7天6晚 ,高档型酒店,0,成都、阿坝州,2702678304
 ,2428,45,0,45,9.8, ,8天7晚 ,昆明百事特悦航机...等,0,昆明、大理、丽江、云南,4154583931
 ,2428,45,0,45,9.5,全程汽车,4天3晚 ,二星及其他酒店,0, ,2825111176
 ,2428,45,1,45,10, ,5天4晚 ,高档型酒店,1, ,2197752290
 ,2428,45,0,45,10, ,5天4晚 ,高档型酒店,0, ,2197752290
 ,1547,0, ,0, , , , , , , 
 ,2428,45,0,45,9.8, ,6天5晚 ,二星及其他酒店,0,贵阳、黔南、安顺、黔东南,4201998482
 ,2428,45,22,45,9.8, ,6天5晚 ,二星及其他酒店,22,贵阳、黔南、安顺、黔东南,4201998482
 ,2428,45,0,45,9.7,汽车去自理回,1天, ,0, ,1423606331
 ,2428,45,0,45,10, ,4天3晚 ,五星酒店,0, ,841242972
 ,2428,45,0,45,10, ,4天3晚 ,五星酒店,0, ,841242972
 ,2428,45,1,45,10, ,4天3晚 ,五星酒店,1, ,841242972
 ,2428,45,50,45,10, ,4天3晚 ,五星酒店,50, ,841242972
 ,2428,45,0,45,9.3,全程汽车,5天4晚 ,四星酒店,0,厦门、漳州,2768563527
 ,2428,45,0,45,10, ,4天3晚 ,豪华型酒店,0, ,348190226
 ,2428,45,15,45,10, ,4天3晚 ,豪华型酒店,15, ,348190226
 ,2428,45,0,45,10, ,4天3晚 ,豪华型酒店,0, ,348190226
 ,2428,45,0,45,9.3,全程汽车,4天3晚 ,四星酒店,0, ,446074206
 ,3980,0,0,0,9.7, ,3天2晚 ,高档型酒店,0, ,3775207298
